code,name,stockType,categoryA,categoryB,categoryC
011155,CJ씨푸드1우,우선주,필수소비재,음식료 및 담배,식료품
001795,대한제당1우,우선주,필수소비재,음식료 및 담배,식료품
004890,동일산업,보통주,소재,소재,금속 및 광물
034590,인천도시가스,보통주,유틸리티,유틸리티,가스
005965,동부건설1우,우선주,산업재,자본재,건설
001065,제이더블유중외제약1우,우선주,의료,제약 및 바이오,제약
000325,노루홀딩스1우,우선주,산업재,자본재,건축자재
001460,BYC,보통주,경기소비재,내구소비재 및 의류,섬유 및 의복
002787,진흥기업2우,2우선주,산업재,자본재,건설
000227,유유제약2우,2우선주,의료,제약 및 바이오,제약
000157,두산2우,2우선주,산업재,자본재,복합 산업
003465,유화증권1우,우선주,금융,증권,증권
005800,신영와코루,보통주,경기소비재,내구소비재 및 의류,섬유 및 의복
001067,제이더블유중외제약2우,2우선주,의료,제약 및 바이오,제약
145995,삼양사1우,우선주,필수소비재,음식료 및 담배,식료품
003650,미창석유공업,보통주,소재,소재,화학
001465,BYC1우,우선주,경기소비재,내구소비재 및 의류,섬유 및 의복
015360,예스코홀딩스,보통주,유틸리티,유틸리티,가스
000547,흥국화재해상보험2우,2우선주,금융,보험,보험
016385,케이지동부제철 주식회사1우,우선주,소재,소재,금속 및 광물
003925,남양유업1우,우선주,필수소비재,음식료 및 담배,식료품
001527,동양2우,2우선주,소재,소재,건축소재
002600,조흥,보통주,필수소비재,음식료 및 담배,식료품
001529,동양3우,3우선주,소재,소재,건축소재
002420,세기상사,보통주,경기소비재,미디어,미디어
007630,폴루스바이오팜,보통주,IT,하드웨어,통신장비
003280,흥아해운,보통주,산업재,운송,해상운수
003620,쌍용자동차,보통주,경기소비재,자동차 및 부품,자동차
010580,지코,보통주,경기소비재,자동차 및 부품,자동차부품
011690,유양디앤유,보통주,IT,하드웨어,전자 장비 및 기기
012170,키위미디어그룹,보통주,경기소비재,미디어,미디어
021820,세원정공,보통주,경기소비재,자동차 및 부품,자동차부품
109070,컨버즈,보통주,소재,소재,종이 및 목재
248070,솔루엠,보통주,IT,하드웨어,전자 장비 및 기기
