code,name,stockType,closePrice,reate,tradeAmount,market_value,PER,결산월,listingDate,categoryA,categoryB,categoryC,faceValue,issuedStocks,price,high,low,transactionPrice,TotalAssets,sales,operationProfit,salesGrowthRate,DPS,ROA,ROE
161000,애경유화,보통주,7560,2.51,171086,2422,8.61,12,20120917,소재,소재,화학,500,32040000,7570,7650,7370,1570,4928,10170,46853,-1.39,350,6.13,8.62
085620,미래에셋생명보험,보통주,4080,5.27,170140,7222,7.48,12,20150708,금융,보험,보험,5000,177016189,3905,3930,3855,179,380155,18589,140723,-10.1,170,.3,4.98
013520,화승알앤에이,보통주,1995,-1,169142,1377,5.93,12,19910222,경기소비재,자동차 및 부품,자동차부품,500,69044875,2040,2080,2000,194,12116,15520,64968,1.56,25,1.94,9.62
023530,롯데쇼핑,보통주,91000,-2.31,168891,25743,-4.21,12,20060209,경기소비재,유통,도소매,5000,28288755,92800,94500,91800,10723,339726,176220,427911,-1.12,3800,-2.79,-8.14
003850,보령제약,보통주,15000,.67,168651,7143,22.77,12,19881024,의료,제약 및 바이오,제약,500,47620000,14950,15100,14800,2293,5076,5243,39064,13.87,100,6.73,11.95
008060,대덕,보통주,6350,.79,168590,2152,13.23,12,19890126,IT,하드웨어,전자 장비 및 기기,500,33890150,6210,6480,6210,1441,12019,10722,46437,81.1,300,5.52,6.38
011090,에넥스,보통주,995,-.3,167225,597,-18.56,12,19950708,경기소비재,내구소비재 및 의류,내구소비재,500,59991641,1000,1010,988,76,1320,3636,-2831,-18.42,,-2.62,-6.42
032560,황금에스티,보통주,7170,1.12,167152,1004,3.9,12,20091029,소재,소재,금속 및 광물,500,14000000,7100,7180,7000,649,3991,2436,18780,-.49,100,7.86,10.23
067830,세이브존아이앤씨,보통주,2870,-2.79,166077,1178,6.01,12,20020725,경기소비재,유통,백화점,1000,41040895,2950,3025,2900,437,5792,1592,29538,-8.46,30,3.85,5.04
030610,교보증권,보통주,6950,.86,165105,4493,3.98,12,20020718,금융,증권,증권,5000,64653296,6700,7060,6630,3304,79239,3064,110354,12.82,400,1.09,9.06
016610,디비금융투자,보통주,4115,.49,163526,1747,3.7,12,19880627,금융,증권,증권,5000,42446389,3975,4120,3965,899,84224,3024,87359,1.2,250,.76,7.15
097230,한진중공업,보통주,8540,1.41,162149,7112,.96,12,20070831,산업재,자본재,건설,5000,83274281,8490,8490,8230,618,24702,16288,83839,-4.07,,11.77,-132.2
363280,티와이홀딩스,보통주,22900,-1.75,156928,8588,,12,20200922,산업재,자본재,건설,500,37500902,21550,23500,21550,11050,,,,,,,
069460,대호에이엘,보통주,1990,-.5,156604,540,-21.82,12,20021111,소재,소재,금속 및 광물,500,27134839,2010,2035,1975,319,809,1175,-950,-11.23,,-4.14,-12.62
293940,신한알파위탁관리부동산투자회사,보통주,7170,1.12,156168,3752,,03,20180808,금융,부동산,부동산,1000,52330123,7060,7110,7030,975,,,,,,,
009580,무림피앤피,보통주,3285,1.83,155766,2049,26.08,12,19890620,소재,소재,종이 및 목재,2500,62368324,3280,3300,3225,535,13503,6313,49416,-3.06,175,.77,1.64
091810,티웨이항공,보통주,2410,-1.04,154932,2217,-5.42,12,20180801,산업재,운송,항공운수,500,46974812,2500,2500,2395,332,8078,8104,-19243,10.75,,-6.98,-20.84
180640,한진칼,보통주,80100,2,154110,47396,-9.83,12,20130916,산업재,운송,항공운수,2500,59170603,79000,79100,76900,7172,26937,12035,-3881,-7.77,255,-9.35,-17.56
010600,웰바이오텍,보통주,2155,1.16,153196,971,-6.04,12,19970718,경기소비재,내구소비재 및 의류,섬유 및 의복,500,45079167,2160,2165,2115,345,1198,838,-11395,13.37,,-14.33,-20.27
010120,엘에스일렉트릭,보통주,54000,0,152897,16200,15.77,12,19940711,산업재,자본재,전기장비,5000,30000000,55300,55300,53700,7500,25381,23468,168549,-5.56,1200,4.17,7.82
009680,모토닉,보통주,11650,3.86,152743,3845,25.72,12,19940104,경기소비재,자동차 및 부품,자동차부품,500,33000000,11500,11550,11150,1290,4409,2076,9696,6.34,300,2.6,2.8
020150,일진머티리얼즈,보통주,41150,0,151282,18975,42.09,12,20110304,IT,하드웨어,전자 장비 및 기기,500,46110835,42150,42150,40850,9711,10369,5502,46850,9.6,50,5.42,8.52
025890,한국주강,보통주,1540,-.97,150607,174,-1.57,12,19970718,소재,소재,금속 및 광물,500,11309259,1575,1575,1520,149,485,363,-4903,-7.32,,-24.92,-35.06
034120,에스비에스,보통주,16150,2.79,150407,2948,19.27,12,20030625,경기소비재,미디어,미디어,5000,18252582,15600,15800,15550,502,12478,8177,12579,-10.54,150,1.9,3.45
014130,한익스프레스,보통주,5230,1.34,150157,628,9.21,12,19890725,산업재,운송,육상운수,500,12000000,5360,5370,5160,887,2665,5774,11938,2.02,70,2.48,8.3
002450,삼익악기,보통주,1385,.36,149557,1254,12.3,12,19880930,경기소비재,내구소비재 및 의류,레저용품,500,90530915,1360,1380,1360,165,6129,2654,27672,10.56,50,2.17,6.27
089590,제주항공,보통주,13800,1.45,149065,5313,-19.45,12,20151106,산업재,운송,항공운수,5000,38499615,13600,13800,13550,1441,14675,13840,-32890,9.89,,-2.65,-9.36
032350,롯데관광개발,보통주,15700,2.23,148140,10876,-71.09,12,20060608,경기소비재,소비자 서비스,호텔 및 레저,500,69275662,15400,15550,15050,2416,5661,884,-16155,16.26,,-2.63,-4.77
017670,SK텔레콤,보통주,238500,0,147788,192579,21.59,12,19891107,통신서비스,통신서비스,무선통신,500,80745711,237000,238500,234500,44106,446116,177437,1109980,5.15,10000,1.98,3.92
138040,메리츠금융지주,보통주,9800,-.1,146381,13133,4.15,12,20110513,금융,보험,보험,500,134011294,9370,9840,9290,2156,617641,18316,962347,17.17,550,1.38,15.26
090430,아모레퍼시픽,보통주,167500,.3,145378,97918,57.8,12,20060629,필수소비재,생활용품,개인생활용품,500,58458490,166500,168000,165000,21222,59890,55801,427835,5.73,1000,3.94,5.36
004990,롯데지주,보통주,30050,0,144256,31525,-11.47,12,19740216,경기소비재,유통,도소매,200,104909237,29500,30050,29500,3306,156058,88562,174855,21.8,1100,-1.9,-5.21
006400,삼성SDI,보통주,424500,-1.18,143468,291905,46.59,12,19790527,IT,하드웨어,전자 장비 및 기기,5000,68764530,430000,437500,425000,83202,198521,100974,462176,10.25,1000,2.05,2.94
004540,깨끗한나라,보통주,4445,-1.35,143202,1655,-7.41,12,19750625,소재,소재,종이 및 목재,1000,37240693,4475,4560,4470,407,5383,5942,5148,-5.14,,-2.07,-7.29
